# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1067
#@/user_id	fwar34_rime_sync
an jian 	按鍵	c=2 d=1.30377 t=1067
ba 	吧	c=27 d=18.8099 t=1067
ba 	把	c=1 d=0.130029 t=1067
bao 	包	c=4 d=0.456503 t=1067
bao guan li 	包管理	c=1 d=0.0773047 t=1067
bao kuo 	包括	c=0 d=0.00599047 t=1067
bao kuo le 	包括了	c=1 d=0.060205 t=1067
bei 	被	c=6 d=1.79791 t=1067
bei bie ren 	被別人	c=1 d=0.0852086 t=1067
bei bie ren jing yin 	被別人靜音	c=1 d=0.414783 t=1067
bi 	比	c=1 d=0.0584257 t=1067
bi jiao 	比較	c=1 d=0.882497 t=1067
bi ru 	比如	c=1 d=0.0939493 t=1067
bi xu 	必須	c=1 d=0.511709 t=1067
bian cheng 	變成	c=1 d=0.324652 t=1067
bian hua 	變化	c=1 d=0.705551 t=1067
bian liang 	變量	c=2 d=0.425283 t=1067
bian ma 	編碼	c=2 d=0.120128 t=1067
biao qian 	標籤	c=1 d=0.186374 t=1067
bie ren 	別人	c=3 d=1.19504 t=1067
bing 	並	c=0 d=0.0414783 t=1067
bing chu shi hua 	並初始化	c=1 d=0.416862 t=1067
bing qie 	並且	c=1 d=0.137381 t=1067
bo ke 	博客	c=1 d=0.179964 t=1067
bu 	不	c=0 d=0.0084163 t=1067
bu bi 	不必	c=1 d=0.909373 t=1067
bu dui 	不對	c=1 d=0.960789 t=1067
bu hui 	不會	c=2 d=0.99005 t=1067
bu ke yi 	不可以	c=1 d=0.496585 t=1067
bu neng 	不能	c=5 d=2.37483 t=1067
bu yong 	不用	c=2 d=0.10942 t=1067
bu yun xu 	不允許	c=1 d=0.427415 t=1067
bu zhi chi 	不支持	c=1 d=0.257947 t=1067
bu zhi jie 	不直接	c=2 d=0.170448 t=1067
cai hui 	纔會	c=0 d=0.0108609 t=1067
cai hui qu 	纔會去	c=1 d=0.109154 t=1067
cai qu 	採取	c=1 d=0.108067 t=1067
cai qu 	纔去	c=1 d=0.108609 t=1067
cao zuo 	操作	c=2 d=0.277891 t=1067
ce 	測	c=1 d=0.891366 t=1067
ce shi 	測試	c=10 d=2.97791 t=1067
ce shi de 	測試的	c=1 d=0.951229 t=1067
cha jian 	插件	c=2 d=0.500673 t=1067
cha xun 	查詢	c=1 d=0.429557 t=1067
cha zhao 	查找	c=1 d=0.458406 t=1067
chang cao 	嘗草	c=0 d=0.0771052 t=1067
cheng gong 	成功	c=2 d=0.752503 t=1067
cheng yuan 	成員	c=2 d=0.655205 t=1067
chi 	喫	c=2 d=1.30115 t=1067
chi san 	喫三	c=1 d=0.771052 t=1067
chong tu 	衝突	c=1 d=1 t=1054
chong xin 	重新	c=1 d=0.514274 t=1067
chong zu 	充足	c=0 d=0.0722527 t=1067
chong zu le 	充足了	c=1 d=0.726149 t=1067
chou ma 	籌碼	c=0 d=0.0869358 t=1067
chu shi hua 	初始化	c=1 d=0.612897 t=1067
chuan di 	傳遞	c=1 d=0.564968 t=1067
ci shi 	此時	c=1 d=0.321422 t=1067
cong 	從	c=4 d=1.02006 t=1067
da 	打	c=0 d=0.0786628 t=1067
da kai 	打開	c=1 d=0.373439 t=1067
da xie 	大寫	c=1 d=0.486752 t=1067
da yang 	大洋	c=1 d=0.062662 t=1067
da yin 	打印	c=2 d=1.37148 t=1067
dai 	帶	c=1 d=0.99005 t=1067
dan du 	單獨	c=2 d=0.475055 t=1067
dang 	當	c=1 d=0.433874 t=1067
dang qian 	當前	c=1 d=1.13865 t=1067
dang qian mei you shu ru 	當前沒有輸入	c=2 d=1.96536 t=1067
dang qian mei you shu ru de 	當前沒有輸入的	c=1 d=0.955997 t=1067
dao 	到	c=8 d=1.01731 t=1067
dao chu 	導出	c=7 d=3.50001 t=1067
dao chu cheng yuan 	導出成員	c=1 d=0.489192 t=1067
dao de 	道德	c=0 d=0.106503 t=1067
dao ru 	導入	c=0 d=0.0392586 t=1067
dao ru qi ta di fang 	導入其他地方	c=1 d=0.394554 t=1067
de 	的	c=65 d=13.503 t=1067
deng 	等	c=4 d=0.643915 t=1067
deng dai 	等待	c=1 d=0.744532 t=1067
di 	第	c=1 d=0.767206 t=1067
di gui 	遞歸	c=1 d=0.128735 t=1067
di xia 	底下	c=0 d=0.0384812 t=1067
di xia zhe ge 	底下這個	c=1 d=0.386741 t=1067
di yi ci 	第一次	c=1 d=0.106992 t=1067
di yi ge 	第一個	c=1 d=0.172907 t=1067
di yi ji 	第一級	c=3 d=0.6898 t=1067
dian 	點	c=1 d=0.527292 t=1067
dian hua 	電話	c=5 d=2.37855 t=1067
dian hua jin ru 	電話進入	c=1 d=0.157237 t=1067
diao yong 	調用	c=2 d=0.601306 t=1067
ding yi 	定義	c=0 d=0.0429557 t=1067
ding yi ji ben 	定義基本	c=1 d=0.431711 t=1067
dou 	都	c=3 d=2.2266 t=1067
dui 	對	c=2 d=1.88355 t=1067
dui ying 	對應	c=1 d=0.08291 t=1067
dui yu 	對於	c=1 d=0.118837 t=1067
dui zhan 	堆棧	c=1 d=0.292293 t=1067
en 	恩	c=3 d=2.62719 t=1067
er shi 	而是	c=1 d=0.0871609 t=1067
fa song 	發送	c=1 d=0.402524 t=1067
fa song dao 	發送到	c=1 d=0.759572 t=1067
fan hui 	返回	c=1 d=0.071719 t=1067
fang fa 	方法	c=6 d=3.17097 t=1067
fang shi 	方式	c=0 d=0.00761538 t=1067
fang shi shi fou bu dui de 	方式是否不對的	c=1 d=0.0765355 t=1067
fang zhi 	放值	c=1 d=0.444858 t=1067
fen lei 	分類	c=1 d=0.187308 t=1067
fu wu qi 	服務器	c=7 d=4.31987 t=1067
gai 	該	c=1 d=0.142987 t=1067
gai bao 	該包	c=1 d=0.122456 t=1067
gai bian 	改變	c=1 d=0.591813 t=1067
ge 	個	c=9 d=4.02838 t=1067
ge ge 	各個	c=1 d=0.941765 t=1067
ge zhong 	各種	c=1 d=0.951229 t=1067
gu 	股	c=1 d=0.786628 t=1067
gua duan 	掛斷	c=1 d=0.449329 t=1067
guai 	乖	c=1 d=1.01589 t=1067
guai kuai ji 	乖會計	c=1 d=0.932394 t=1067
guan bi 	關閉	c=4 d=1.58157 t=1067
guan li 	管理	c=3 d=0.528272 t=1067
guang biao 	光標	c=1 d=0.0566989 t=1067
gui dang 	歸檔	c=1 d=0.185444 t=1067
ha ha ha 	哈哈哈	c=1 d=0.847894 t=1067
hai 	還	c=1 d=0.256661 t=1067
han shu 	函數	c=12 d=1.38698 t=1067
hao 	好	c=2 d=0.103639 t=1067
hao ma 	好嗎	c=1 d=0.99005 t=1067
hao shi 	耗時	c=1 d=0.423162 t=1067
he 	和	c=2 d=1.14324 t=1067
he ye 	荷葉	c=1 d=0.20089 t=1067
hen hao de 	很好的	c=0 d=0.0878095 t=1067
hong 	宏	c=1 d=0.0800583 t=1067
hou 	候	c=0 d=0.00685632 t=1067
hou 	後	c=4 d=2.15762 t=1067
hou ru hui 	後入會	c=1 d=0.0632918 t=1067
hou wen 	後文	c=1 d=0.154896 t=1067
hou xuan xiang 	候選項	c=4 d=0.288457 t=1067
hou zhui 	後綴	c=1 d=0.329559 t=1067
hua 	話	c=1 d=0.869358 t=1067
huan chong 	緩衝	c=0 d=0.0718924 t=1067
huan chong jiu 	緩衝就	c=1 d=0.722527 t=1067
hui 	會	c=5 d=1.70339 t=1067
hui gai bian 	會改變	c=1 d=0.514274 t=1067
hui jiang 	會將	c=2 d=0.104807 t=1067
hui yi 	會議	c=5 d=2.46791 t=1067
huo zhe 	或者	c=4 d=0.64534 t=1067
ji ben 	基本	c=0 d=0.0867793 t=1067
ji ben yong bu dao 	基本用不到	c=1 d=0.440432 t=1067
ji miao 	幾秒	c=0 d=0.0683861 t=1067
ji zhi 	機制	c=1 d=0.166777 t=1067
ji zhi xun zhao 	機制尋找	c=1 d=0.402524 t=1067
jia ru 	加入	c=1 d=0.995012 t=1067
jia shang 	加上	c=1 d=0.0544757 t=1067
jia xing 	嘉興	c=1 d=0.124307 t=1067
jia zai 	加載	c=5 d=0.611985 t=1067
jian 	鍵	c=1 d=1 t=1053
jian hua 	簡化	c=2 d=1.90823 t=1067
jian rong xing 	兼容性	c=1 d=0.790571 t=1067
jian zhi 	監製	c=1 d=0.453845 t=1067
jian zhi 	鍵值	c=2 d=0.916824 t=1067
jiang 	將	c=1 d=0.0695994 t=1067
jie 	接	c=1 d=0.677057 t=1067
jie chu 	接觸	c=1 d=0.0434998 t=1067
jie chu 	解除	c=4 d=2.75492 t=1067
jie duan 	階段	c=1 d=0.316637 t=1067
jie gou ti 	結構體	c=10 d=6.1035 t=1067
jie gou ti zhi 	結構體值	c=1 d=0.637628 t=1067
jie kou 	接口	c=1 d=0.856415 t=1067
jie shao 	介紹	c=1 d=0.156453 t=1067
jie shou 	接收	c=2 d=1.4669 t=1067
jie shou hou 	接收後	c=1 d=0.718924 t=1067
jie shu 	結束	c=1 d=0.463013 t=1067
jie xi 	解析	c=2 d=0.218627 t=1067
jin 	進	c=1 d=0.286505 t=1067
jin ru 	進入	c=0 d=0.0156453 t=1067
jin xing 	進行	c=1 d=0.12493 t=1067
jin zhi 	進制	c=1 d=0.0558548 t=1067
jing tai 	靜態	c=1 d=0.179066 t=1067
jing yin 	靜音	c=21 d=9.79287 t=1067
jing yin hou 	靜音後	c=3 d=2.06897 t=1067
jiu 	就	c=2 d=1.38051 t=1067
jiu neng gou 	就能夠	c=1 d=0.140858 t=1067
jiu shi 	就是	c=1 d=0.0720785 t=1067
kai 	開	c=1 d=0.486752 t=1067
kan 	看	c=2 d=0.937067 t=1067
kao lv 	考慮	c=1 d=0.774916 t=1067
ke hu duan 	客戶端	c=7 d=3.50085 t=1067
ke yi 	可以	c=5 d=3.16932 t=1067
kong zhi 	控制	c=3 d=2.7196 t=1067
kuai ji 	會計	c=0 d=0.0927743 t=1067
kuai lai 	快來	c=1 d=0.778801 t=1067
lai 	來	c=8 d=1.19769 t=1067
lan 	藍	c=3 d=1.52678 t=1067
le 	了	c=5 d=2.67896 t=1067
lei si 	類似	c=1 d=0.244143 t=1067
lei xing 	類型	c=3 d=1.05702 t=1067
li 	理	c=1 d=0.0776922 t=1067
li mian 	裏面	c=1 d=0.70822 t=1067
lian jie 	鏈接	c=2 d=0.413923 t=1067
ling huo 	靈活	c=2 d=1.85736 t=1067
ling jiong den 	另囧㩐	c=1 d=0.767206 t=1067
ling yi zhong 	另一種	c=1 d=0.162838 t=1067
lu jing 	路徑	c=1 d=0.26982 t=1067
luo ji 	邏輯	c=4 d=3.61609 t=1067
ma 	嗎	c=0 d=0.0865022 t=1067
ma an 	馬鞍	c=0 d=0.0771052 t=1067
mei 	沒	c=0 d=0.0045275 t=1067
mei you 	沒有	c=3 d=1.1434 t=1067
mei yu zeng 	沒預增	c=1 d=0.045502 t=1067
men 	門	c=3 d=0.882497 t=1067
mian 	麪	c=1 d=0.0572688 t=1067
ming ling 	命令	c=1 d=0.100259 t=1067
mo fa 	魔法	c=2 d=0.179667 t=1067
mo ni 	模擬	c=1 d=0.421052 t=1067
mo shou shi jie 	魔獸世界	c=1 d=0.946485 t=1067
mu lu 	目錄	c=6 d=1.1451 t=1067
mu xia 	目下	c=1 d=0.194952 t=1067
nao dai 	腦袋	c=1 d=0.767206 t=1067
nei rong 	內容	c=2 d=0.202657 t=1067
neng gou 	能夠	c=0 d=0.0140156 t=1067
ni 	伲	c=1 d=0.980199 t=1067
ni 	你	c=54 d=20.6991 t=1067
ni 	隬	c=1 d=0.970446 t=1067
ni chang cao ma an 	你嘗草馬鞍	c=1 d=0.774916 t=1067
ni de 	你的	c=2 d=1.8426 t=1067
ni hao 	你好	c=6 d=3.40429 t=1067
ni hao chou ma 	你好籌碼	c=1 d=0.873716 t=1067
ni hao de 	你好的	c=2 d=1.57302 t=1067
ni hao ma 	你好嗎	c=35 d=22.2946 t=1067
ni ming 	匿名	c=1 d=0.307279 t=1067
ni zhi 	你只	c=0 d=0.0767206 t=1067
ni zhi da ou 	你直達偶	c=1 d=0.0387742 t=1067
ni zhi dao 	你知道	c=7 d=5.66521 t=1067
ni zhi dao dao de 	你知道道德	c=1 d=0.618783 t=1067
ni zhi dao de 	你只道德	c=1 d=0.771052 t=1067
